student_id,student_name,study_hours_without_mobile_usage,average_score_percentage
S0267,Student_267,7.2,73
S0268,Student_268,6.0,74
S0269,Student_269,0.6,35
S0270,Student_270,3.0,51
S0271,Student_271,5.5,70
S0272,Student_272,3.1,55
S0273,Student_273,7.1,75
S0274,Student_274,4.5,66
S0275,Student_275,1.7,44
S0276,Student_276,1.6,47
S0277,Student_277,9.2,86
S0278,Student_278,4.0,60
S0279,Student_279,6.2,72
S0280,Student_280,1.9,42
S0281,Student_281,7.5,81
S0282,Student_282,3.2,56
S0283,Student_283,9.8,93
S0284,Student_284,0.7,42
S0285,Student_285,9.9,94
S0286,Student_286,8.1,84
S0287,Student_287,6.7,79
S0288,Student_288,5.1,67
S0289,Student_289,8.7,84
S0290,Student_290,1.9,42
S0291,Student_291,7.4,76
S0292,Student_292,6.4,70
S0293,Student_293,2.3,51
S0294,Student_294,4.3,62
S0295,Student_295,1.2,44
S0296,Student_296,4.2,59
S0297,Student_297,1.3,45
S0298,Student_298,7.1,80
S0299,Student_299,2.8,49
S0300,Student_300,10.0,96
S0301,Student_301,5.2,67
S0302,Student_302,3.7,56
S0303,Student_303,8.3,84
S0304,Student_304,2.8,48
S0305,Student_305,5.4,72
S0306,Student_306,6.8,80
S0307,Student_307,2.9,52
S0308,Student_308,0.9,39
S0309,Student_309,2.0,45
S0310,Student_310,1.3,42
S0311,Student_311,7.2,74
S0312,Student_312,3.9,56
S0313,Student_313,8.9,92
S0314,Student_314,7.7,79
S0315,Student_315,6.1,73
S0316,Student_316,9.1,90
S0317,Student_317,3.6,56
S0318,Student_318,1.5,45
S0319,Student_319,5.4,67
S0320,Student_320,3.3,55
S0321,Student_321,2.5,47
S0322,Student_322,8.7,88
S0323,Student_323,2.9,49
S0324,Student_324,6.1,68
S0325,Student_325,6.8,72
S0326,Student_326,2.0,50
S0327,Student_327,6.0,72
S0328,Student_328,5.1,61
S0329,Student_329,0.9,43
S0330,Student_330,9.1,91
S0331,Student_331,5.5,63
S0332,Student_332,2.2,51
S0333,Student_333,1.9,50
S0334,Student_334,6.8,76
S0335,Student_335,3.0,53
S0336,Student_336,9.9,95
S0337,Student_337,2.2,50
S0338,Student_338,3.7,57
S0339,Student_339,5.8,69
S0340,Student_340,4.6,60
S0341,Student_341,4.1,60
S0342,Student_342,4.0,62
S0343,Student_343,3.2,56
S0344,Student_344,5.4,70
S0345,Student_345,8.1,80
S0346,Student_346,7.6,76
S0347,Student_347,1.5,42
S0348,Student_348,2.3,50
S0349,Student_349,10.0,93
S0350,Student_350,4.5,57
S0351,Student_351,5.9,66
S0352,Student_352,7.9,85
S0353,Student_353,1.4,39
S0354,Student_354,2.6,51
S0355,Student_355,9.7,95
S0356,Student_356,6.2,76
S0357,Student_357,3.5,59
S0358,Student_358,1.0,36
S0359,Student_359,6.6,74
S0360,Student_360,8.2,79
S0361,Student_361,5.6,71
S0362,Student_362,2.9,50
S0363,Student_363,7.5,76
S0364,Student_364,6.5,73
S0365,Student_365,4.7,60
S0366,Student_366,2.4,47
S0367,Student_367,6.6,71
S0368,Student_368,5.1,67
S0369,Student_369,4.0,56
S0370,Student_370,4.1,61
S0371,Student_371,6.1,67
S0372,Student_372,5.5,64
S0373,Student_373,1.9,45
S0374,Student_374,9.1,86
S0375,Student_375,6.7,79
S0376,Student_376,5.0,60
S0377,Student_377,1.6,44
S0378,Student_378,6.8,74
S0379,Student_379,5.0,61
S0380,Student_380,2.7,52
S0381,Student_381,8.4,83
S0382,Student_382,8.8,89
S0383,Student_383,7.7,79
S0384,Student_384,9.7,90
S0385,Student_385,2.4,52
S0386,Student_386,9.0,86
S0387,Student_387,5.3,63
S0388,Student_388,7.6,84
S0389,Student_389,1.1,39
S0390,Student_390,5.1,68
S0391,Student_391,5.6,67
S0392,Student_392,9.5,94
S0393,Student_393,4.2,57
S0394,Student_394,5.0,66
S0395,Student_395,7.1,80
S0396,Student_396,3.4,55
S0397,Student_397,3.4,55
S0398,Student_398,5.1,62
S0399,Student_399,6.8,71
S0400,Student_400,2.4,50
S0401,Student_401,8.0,80
S0402,Student_402,7.5,82
S0403,Student_403,4.5,65
S0404,Student_404,6.0,67
S0405,Student_405,7.3,75
S0406,Student_406,2.8,53
S0407,Student_407,1.0,43
S0408,Student_408,4.6,64
S0409,Student_409,5.8,69
S0410,Student_410,2.4,50
S0411,Student_411,5.4,64
S0412,Student_412,7.8,76
S0413,Student_413,1.6,40
S0414,Student_414,5.3,70
S0415,Student_415,8.1,87
S0416,Student_416,4.2,62
S0417,Student_417,8.9,92
S0418,Student_418,0.8,41
S0419,Student_419,4.2,59
S0420,Student_420,1.5,41
S0421,Student_421,3.9,62
S0422,Student_422,3.1,49
S0423,Student_423,5.5,70
S0424,Student_424,8.7,87
S0425,Student_425,5.7,72
S0426,Student_426,3.8,60
S0427,Student_427,1.9,50
S0428,Student_428,4.0,55
S0429,Student_429,2.9,48
S0430,Student_430,7.9,86
S0431,Student_431,7.8,80
S0432,Student_432,5.0,68
S0433,Student_433,3.1,51
S0434,Student_434,6.8,72
S0435,Student_435,7.7,84
S0436,Student_436,3.7,58
S0437,Student_437,8.7,82
S0438,Student_438,6.0,67
S0439,Student_439,4.6,63
S0440,Student_440,4.7,66
S0441,Student_441,9.3,89
S0442,Student_442,9.5,91
S0443,Student_443,9.6,88
S0444,Student_444,3.6,53
S0445,Student_445,1.2,44
S0446,Student_446,2.3,48
S0447,Student_447,2.5,51
S0448,Student_448,2.2,45
S0449,Student_449,4.2,62
S0450,Student_450,4.0,59
S0451,Student_451,1.8,45
S0452,Student_452,4.5,66
S0453,Student_453,1.0,45
S0454,Student_454,8.4,86
S0455,Student_455,2.2,49
S0456,Student_456,2.8,54
S0457,Student_457,4.0,60
S0458,Student_458,9.3,92
S0459,Student_459,4.6,59
S0460,Student_460,7.3,83
S0461,Student_461,7.9,86
S0462,Student_462,9.3,87
S0463,Student_463,0.9,42
S0464,Student_464,4.3,59
S0465,Student_465,1.8,41
S0466,Student_466,4.2,57
S0467,Student_467,4.4,60
S0468,Student_468,8.4,82
S0469,Student_469,8.7,85
S0470,Student_470,5.0,65
S0471,Student_471,8.3,84
S0472,Student_472,2.0,46
S0473,Student_473,5.3,63
S0474,Student_474,4.6,58
S0475,Student_475,5.3,66
S0476,Student_476,5.7,65
S0477,Student_477,3.8,61
S0478,Student_478,10.0,98
S0479,Student_479,3.5,53
S0480,Student_480,9.3,91
S0481,Student_481,6.7,77
S0482,Student_482,4.6,60
S0483,Student_483,6.0,66
S0484,Student_484,9.4,93
S0485,Student_485,9.6,92
S0486,Student_486,8.0,81
S0487,Student_487,6.5,71
S0488,Student_488,7.4,74
S0489,Student_489,3.9,63
S0490,Student_490,0.9,37
S0491,Student_491,5.5,69
S0492,Student_492,9.7,95
S0493,Student_493,4.6,63
S0494,Student_494,7.8,80
S0495,Student_495,9.3,91
S0496,Student_496,5.7,66
S0497,Student_497,6.9,74
S0498,Student_498,3.4,50
S0499,Student_499,7.6,79
S0500,Student_500,1.7,46
S0501,Student_501,8.2,83
S0502,Student_502,7.1,79
S0503,Student_503,9.7,88
S0504,Student_504,7.8,76
S0505,Student_505,0.8,35
S0506,Student_506,2.1,48
S0507,Student_507,4.6,60
S0508,Student_508,3.5,53
S0509,Student_509,4.0,63
S0510,Student_510,2.5,45
S0511,Student_511,8.5,83
S0512,Student_512,5.3,66
S0513,Student_513,6.3,74
S0514,Student_514,2.2,44
S0515,Student_515,8.0,78
S0516,Student_516,2.2,52
S0517,Student_517,2.4,48
S0518,Student_518,8.1,78
S0519,Student_519,0.7,42
S0520,Student_520,8.1,81
S0521,Student_521,8.0,82
S0522,Student_522,6.8,79
S0523,Student_523,9.0,93
S0524,Student_524,3.0,55
S0525,Student_525,1.8,49
S0526,Student_526,3.9,57
S0527,Student_527,1.7,45
S0528,Student_528,3.6,61
S0529,Student_529,7.1,73
S0530,Student_530,2.5,46
S0531,Student_531,3.2,56
S0532,Student_532,6.8,73
S0533,Student_533,6.2,72
S0534,Student_534,9.2,94
S0535,Student_535,3.4,57
S0536,Student_536,9.2,94
S0537,Student_537,3.9,60
S0538,Student_538,9.6,92
S0539,Student_539,7.0,74
S0540,Student_540,5.7,70
S0541,Student_541,1.9,46
S0542,Student_542,8.3,83
S0543,Student_543,0.6,36
S0544,Student_544,4.4,58
S0545,Student_545,8.7,88
S0546,Student_546,5.9,65
S0547,Student_547,1.9,42
S0548,Student_548,6.1,76
S0549,Student_549,6.1,67
S0550,Student_550,9.3,86
S0551,Student_551,1.5,45
S0552,Student_552,4.6,58
S0553,Student_553,6.2,72
S0554,Student_554,1.2,44
S0555,Student_555,6.1,68
S0556,Student_556,3.5,54
S0557,Student_557,7.8,80
S0558,Student_558,3.2,57
S0559,Student_559,9.7,96
S0560,Student_560,7.0,73
S0561,Student_561,5.6,67
S0562,Student_562,2.6,53
S0563,Student_563,9.3,89
S0564,Student_564,4.8,64
S0565,Student_565,8.5,87
S0566,Student_566,8.3,83
S0567,Student_567,5.8,68
S0568,Student_568,4.0,54
S0569,Student_569,2.7,49
S0570,Student_570,8.9,88
S0571,Student_571,0.5,36
S0572,Student_572,3.3,55
S0573,Student_573,1.3,44
S0574,Student_574,7.8,84
S0575,Student_575,7.1,78
S0576,Student_576,9.3,93
S0577,Student_577,3.4,55
S0578,Student_578,5.8,74
S0579,Student_579,8.9,87
S0580,Student_580,9.2,94
S0581,Student_581,2.0,51
S0582,Student_582,7.0,79
S0583,Student_583,3.0,55
S0584,Student_584,2.4,52
S0585,Student_585,6.4,74
S0586,Student_586,8.5,85
S0587,Student_587,4.9,66
S0588,Student_588,1.3,39
S0589,Student_589,5.1,66
S0590,Student_590,4.9,65
S0591,Student_591,8.1,86
S0592,Student_592,6.1,74
S0593,Student_593,6.5,76
S0594,Student_594,9.4,87
S0595,Student_595,0.6,41
S0596,Student_596,8.7,90
S0597,Student_597,7.2,82
S0598,Student_598,4.3,56
S0599,Student_599,1.4,40
S0600,Student_600,5.7,73
S0601,Student_601,4.8,66
S0602,Student_602,7.5,79
S0603,Student_603,6.0,69
S0604,Student_604,0.6,41
S0605,Student_605,8.4,88
S0606,Student_606,6.0,69
S0607,Student_607,0.9,41
S0608,Student_608,3.7,61
S0609,Student_609,1.9,43
S0610,Student_610,5.3,62
S0611,Student_611,3.1,57
S0612,Student_612,2.2,51
S0613,Student_613,9.0,87
S0614,Student_614,6.0,74
S0615,Student_615,4.1,56
S0616,Student_616,4.5,64
S0617,Student_617,9.4,95
S0618,Student_618,9.8,89
S0619,Student_619,4.7,65
S0620,Student_620,6.4,68
S0621,Student_621,1.9,44
S0622,Student_622,6.2,71
S0623,Student_623,7.1,79
S0624,Student_624,6.4,78
S0625,Student_625,6.9,76
S0626,Student_626,2.5,53
S0627,Student_627,2.8,49
S0628,Student_628,9.1,92
S0629,Student_629,6.7,79
S0630,Student_630,0.7,38
S0631,Student_631,7.7,81
S0632,Student_632,6.8,72
S0633,Student_633,5.6,69
S0634,Student_634,0.8,44
S0635,Student_635,9.5,95
S0636,Student_636,7.7,77
S0637,Student_637,2.7,55
S0638,Student_638,7.4,76
S0639,Student_639,3.6,61
S0640,Student_640,6.2,69
S0641,Student_641,9.9,91
S0642,Student_642,2.4,53
S0643,Student_643,9.5,89
S0644,Student_644,4.2,63
S0645,Student_645,5.5,70
S0646,Student_646,7.8,78
S0647,Student_647,4.1,59
S0648,Student_648,7.8,81
S0649,Student_649,8.7,88
S0650,Student_650,1.2,42
S0651,Student_651,4.9,64
S0652,Student_652,3.9,55
S0653,Student_653,0.6,41
S0654,Student_654,1.3,37
S0655,Student_655,4.0,63
S0656,Student_656,5.8,70
S0657,Student_657,9.7,91
S0658,Student_658,6.3,67
S0659,Student_659,4.3,62
S0660,Student_660,4.3,57
S0661,Student_661,0.7,39
S0662,Student_662,2.3,46
S0663,Student_663,0.9,42
S0664,Student_664,2.9,48
S0665,Student_665,7.4,77
S0666,Student_666,2.2,46
S0667,Student_667,5.9,67
S0668,Student_668,9.5,96
S0669,Student_669,7.5,78
S0670,Student_670,6.9,74
S0671,Student_671,6.4,74
S0672,Student_672,9.9,98
S0673,Student_673,6.1,69
S0674,Student_674,5.4,66
S0675,Student_675,5.2,64
S0676,Student_676,6.1,68
S0677,Student_677,6.5,71
S0678,Student_678,3.8,57
S0679,Student_679,5.8,73
S0680,Student_680,4.9,66
S0681,Student_681,3.0,48
S0682,Student_682,9.5,93
S0683,Student_683,2.5,53
S0684,Student_684,3.5,58
S0685,Student_685,6.7,74
S0686,Student_686,9.1,91
S0687,Student_687,5.2,69
S0688,Student_688,4.0,57
S0689,Student_689,3.8,55
S0690,Student_690,1.7,43
S0691,Student_691,7.6,83
S0692,Student_692,1.2,44
S0693,Student_693,8.1,84
S0694,Student_694,2.3,46
S0695,Student_695,2.1,50
S0696,Student_696,1.5,47
S0697,Student_697,6.9,77
S0698,Student_698,4.1,60
S0699,Student_699,2.6,52
S0700,Student_700,1.2,45
S0701,Student_701,3.6,55
S0702,Student_702,2.3,44
S0703,Student_703,5.8,67
S0704,Student_704,2.7,55
S0705,Student_705,6.0,69
S0706,Student_706,7.7,77
S0707,Student_707,8.0,85
S0708,Student_708,6.5,77
S0709,Student_709,3.3,53
S0710,Student_710,3.4,54
S0711,Student_711,5.7,69
S0712,Student_712,7.3,83
S0713,Student_713,8.1,81
S0714,Student_714,8.6,82
S0715,Student_715,6.9,78
S0716,Student_716,3.3,51
S0717,Student_717,7.5,84
S0718,Student_718,1.1,43
S0719,Student_719,9.2,92
S0720,Student_720,8.8,83
S0721,Student_721,4.3,58
S0722,Student_722,1.2,44
S0723,Student_723,8.9,87
S0724,Student_724,0.8,42
S0725,Student_725,4.6,63
S0726,Student_726,7.4,83
S0727,Student_727,5.3,62
S0728,Student_728,1.6,41
S0729,Student_729,2.9,57
S0730,Student_730,3.3,55
S0731,Student_731,1.0,45
S0732,Student_732,2.8,56
S0733,Student_733,3.7,60
S0734,Student_734,4.0,54
S0735,Student_735,1.0,45
S0736,Student_736,8.9,93
S0737,Student_737,3.4,58
S0738,Student_738,3.3,51
S0739,Student_739,7.6,77
S0740,Student_740,2.6,47
S0741,Student_741,6.1,72
S0742,Student_742,6.9,73
S0743,Student_743,8.8,87
S0744,Student_744,4.4,57
S0745,Student_745,1.6,39
S0746,Student_746,10.0,92
S0747,Student_747,4.0,54
S0748,Student_748,5.2,69
S0749,Student_749,9.1,87
S0750,Student_750,5.5,64
S0751,Student_751,8.4,89
S0752,Student_752,1.8,49
S0753,Student_753,4.3,65
S0754,Student_754,3.1,51
S0755,Student_755,7.9,77
S0756,Student_756,6.3,76
S0757,Student_757,4.9,63
S0758,Student_758,0.8,43
S0759,Student_759,7.6,75
S0760,Student_760,4.5,63
S0761,Student_761,9.1,84
S0762,Student_762,8.2,80
S0763,Student_763,6.0,73
S0764,Student_764,7.9,83
S0765,Student_765,7.0,80
S0766,Student_766,8.2,86
S0767,Student_767,8.4,88
S0768,Student_768,3.9,55
S0769,Student_769,4.2,59
S0770,Student_770,6.7,72
S0771,Student_771,8.7,84
S0772,Student_772,5.0,68
S0773,Student_773,2.2,48
S0774,Student_774,6.5,70
S0775,Student_775,4.2,56
S0776,Student_776,6.7,79
S0777,Student_777,1.0,36
S0778,Student_778,4.5,61
S0779,Student_779,7.3,76
S0780,Student_780,6.6,76
S0781,Student_781,3.8,60
S0782,Student_782,3.5,52
S0783,Student_783,1.2,44
S0784,Student_784,5.0,60
S0785,Student_785,9.7,91
S0786,Student_786,2.4,48
S0787,Student_787,7.7,83
S0788,Student_788,3.4,52
S0789,Student_789,8.4,82
S0790,Student_790,0.7,40
S0791,Student_791,1.5,40
S0792,Student_792,3.9,53
S0793,Student_793,0.9,42
S0794,Student_794,1.2,45
S0795,Student_795,7.9,83
S0796,Student_796,4.9,60
S0797,Student_797,2.0,44
S0798,Student_798,3.8,61
S0799,Student_799,7.3,81
S0800,Student_800,5.6,65
S0801,Student_801,3.3,58
S0802,Student_802,6.5,74
S0803,Student_803,8.7,86
S0804,Student_804,5.0,61
S0805,Student_805,9.1,91
S0806,Student_806,5.6,66
S0807,Student_807,6.7,75
S0808,Student_808,5.1,69
S0809,Student_809,4.5,64
S0810,Student_810,5.5,66
S0811,Student_811,0.8,35
S0812,Student_812,6.6,74
S0813,Student_813,9.9,95
S0814,Student_814,9.2,92
S0815,Student_815,9.7,88
S0816,Student_816,9.1,85
S0817,Student_817,5.3,62
S0818,Student_818,6.3,76
S0819,Student_819,4.8,60
S0820,Student_820,5.6,72
S0821,Student_821,8.3,89
S0822,Student_822,5.1,65
S0823,Student_823,9.1,91
S0824,Student_824,8.2,81
S0825,Student_825,9.7,95
S0826,Student_826,6.5,75
S0827,Student_827,1.8,45
S0828,Student_828,0.9,40
S0829,Student_829,4.8,59
S0830,Student_830,4.9,67
S0831,Student_831,6.4,73
S0832,Student_832,2.8,49
S0833,Student_833,8.7,86
S0834,Student_834,8.8,88
S0835,Student_835,4.3,58
S0836,Student_836,2.0,50
S0837,Student_837,9.4,94
S0838,Student_838,2.5,46
S0839,Student_839,9.3,94
S0840,Student_840,5.8,65
S0841,Student_841,1.3,38
S0842,Student_842,9.0,92
S0843,Student_843,4.4,63
S0844,Student_844,7.0,81
S0845,Student_845,8.0,83
S0846,Student_846,3.5,54
S0847,Student_847,9.5,92
S0848,Student_848,2.4,48
S0849,Student_849,8.5,82
S0850,Student_850,1.9,48
S0851,Student_851,7.8,83
S0852,Student_852,6.1,70
S0853,Student_853,6.0,70
S0854,Student_854,1.6,43
S0855,Student_855,0.6,36
S0856,Student_856,6.9,74
S0857,Student_857,0.6,38
S0858,Student_858,5.4,62
S0859,Student_859,3.5,56
S0860,Student_860,0.6,35
S0861,Student_861,1.4,44
S0862,Student_862,5.4,63
S0863,Student_863,2.1,49
S0864,Student_864,2.8,54
S0865,Student_865,8.1,86
S0866,Student_866,8.0,80
S0867,Student_867,1.1,43
S0868,Student_868,3.2,56
S0869,Student_869,5.2,62
S0870,Student_870,9.5,88
S0871,Student_871,5.6,64
S0872,Student_872,3.3,53
S0873,Student_873,7.0,78
S0874,Student_874,9.0,90
S0875,Student_875,0.8,39
S0876,Student_876,8.9,85
S0877,Student_877,4.0,58
S0878,Student_878,9.7,98
S0879,Student_879,9.8,96
S0880,Student_880,9.7,94
S0881,Student_881,5.7,66
S0882,Student_882,6.0,74
S0883,Student_883,8.7,84
S0884,Student_884,4.0,55
S0885,Student_885,7.9,83
S0886,Student_886,5.3,70
S0887,Student_887,7.9,82
S0888,Student_888,5.3,63
S0889,Student_889,2.8,50
S0890,Student_890,7.5,80
S0891,Student_891,1.0,44
S0892,Student_892,4.4,56
S0893,Student_893,0.7,40
S0894,Student_894,9.2,93
S0895,Student_895,2.0,47
S0896,Student_896,4.7,59
S0897,Student_897,4.7,65
S0898,Student_898,4.8,61
S0899,Student_899,4.9,66
S0900,Student_900,9.0,89
S0901,Student_901,5.1,67
S0902,Student_902,3.8,54
S0903,Student_903,6.0,72
S0904,Student_904,7.0,73
S0905,Student_905,7.8,79
S0906,Student_906,7.1,78
S0907,Student_907,9.4,87
S0908,Student_908,2.6,50
S0909,Student_909,2.4,49
S0910,Student_910,5.0,62
S0911,Student_911,7.1,76
S0912,Student_912,9.5,94
S0913,Student_913,3.2,51
S0914,Student_914,6.5,73
S0915,Student_915,1.7,42
S0916,Student_916,0.6,43
S0917,Student_917,9.5,89
S0918,Student_918,4.4,56
S0919,Student_919,7.4,76
S0920,Student_920,5.1,65
S0921,Student_921,7.6,78
S0922,Student_922,1.0,37
S0923,Student_923,9.2,87
S0924,Student_924,5.5,71
S0925,Student_925,4.4,65
S0926,Student_926,5.9,69
S0927,Student_927,6.0,70
S0928,Student_928,5.8,74
S0929,Student_929,8.6,88
